1,46,80,110,126,142,162,172,186,252,278
2,26,46,134,164,180,186,250,308,420,470
3,84,262,350,404,430,532,694,834,860,862
4,84,144,166,200,222,236,408,428,464,532
5,2,4,6,8,10,12,14,16,18,20
6,134,184,406,452,526,708,964,1000,1060,1070
7,162,302,852,1170,1382,1950,2156,2292,2474,3376
8,58,72,94,96,160,228,238,298,312,378
9,124,186,216,218,228,238,254,268,284,476
10,152,160,200,212,218,220,226,274,324,362
11,2,4,6,8,10,12,14,16,18,20
12,6,30,50,60,74,140,200,262,266,336
13,44,92,110,160,164,172,236,246,254,258
14,26,40,142,240,246,276,366,414,506,550
15,46,140,162,186,250,258,280,392,418,422
16,2,4,6,8,10,12,14,16,18,20
17,1158,4258,4440,4594,5890,6522,6880,278,3086,3438
18,94,160,170,224,236,274,288,474,478,514
19,30,94,118,152,242,408,466,514,566,592
20,78,84,92,112,122,184,218,258,312,368
21,28,84,112,336,392,418,434,452,482,502
22,4,6,32,64,92,94,96,118,170,172
23,4196,8316,576,1668,1836,2488,2606,2838,4154,4684
24,26,72,100,142,180,258,366,548,558,580
25,98,302,1264,2156,2958,3284,3692,3820,3834,3948
26,484,1264,1292,1668,2292,2358,2820,3146,3692,3920
27,162,180,352,708,730,1038,1168,1216,1232,1582
28,18,180,190,198,294,302,352,386,422,432
29,26,150,180,182,276,294,484,496,560,578
30,90,106,142,162,178,186,230,308,320,352
31,46,208,258,262,432,482,528,842,870,882
32,72,94,96,268,328,404,444,464,466,514
33,260,418,582,924,996,1292,1482,1704,1910,2106
34,128,250,650,1240,1316,1716,1824,1922,1950,2160
35,18,50,66,80,94,106,216,258,384,446
36,26,148,178,492,496,582,640,794,934,956
37,5714,6066,6224,6638,6774,7392,7624,7860,8308,8482
38,42,250,316,344,518,530,606,648,688,694
39,4,72,122,152,238,268,336,364,396,424
40,1316,2334,2838,3054,3692,3948,4864,5016,5206,5980
41,8,10,42,44,184,240,252,258,278,282
42,162,306,418,438,470,596,686,696,728,762
43,90,110,208,246,366,386,498,500,516,696
44,62,88,142,184,186,190,230,422,510,550
45,28,42,46,228,246,310,394,418,546,610
46,18,38,40,46,66,72,96,180,182,190
47,18,46,66,94,126,134,180,250,280,338
48,52,104,120,156,176,224,334,346,564,588
49,50,124,140,260,268,300,378,640,656,740
50,2,4,6,8,10,12,14,16,18,20
51,98,2550,4586,5206,5246,5314,6676,7676,7838,9024
52,62,72,154,156,166,268,290,390,408,564
53,178,320,480,576,1006,1038,1158,1232,1316,1618
54,4,28,88,140,156,212,228,322,338,354
55,42,44,252,260,398,424,500,520,654,668
56,178,904,2020,2038,2236,2358,2636,2938,3748,3920
57,180,182,384,418,422,470,518,624,684,708
58,40,46,186,250,260,276,280,368,432,558
59,98,1276,2292,2790,3920,4764,5206,5410,5844,5988
60,42,80,316,422,558,560,696,824,948,966
61,20,100,166,316,368,398,440,520,540,624
62,4,96,154,170,200,232,236,266,282,332
63,70,200,258,268,288,396,532,546,552,568
64,9580,10188,5246,6946,8232,8748,8984,8998,9024,10434
65,420,934,1038,1052,1232,1316,1414,1468,1704,1850
66,6,14,96,156,166,202,222,272,296,298
67,320,352,1010,1340,1906,2488,2714,2750,2780,3198
68,162,172,278,320,684,774,812,938,956,1006
69,26,32,100,110,190,216,234,294,360,418
70,4,30,50,62,90,160,272,328,408,444
71,10,180,182,234,260,280,410,430,492,596
72,200,212,300,424,526,532,562,566,664,680
73,74,996,1170,1232,1370,1406,1530,1704,2100,2754
74,60,282,362,460,612,662,672,710,744,752
75,22,40,80,160,236,332,358,434,490,530
76,106,126,164,234,258,262,312,316,328,358
77,98,106,110,134,250,320,350,496,728,1158
78,2,4,6,8,10,12,14,16,18,20
79,18,22,28,38,142,152,338,386,490,506
80,4,16,32,56,62,86,138,170,172,200
81,6,28,154,186,190,240,310,412,434,640
82,10,106,124,134,250,320,368,492,678,794
83,2,4,6,8,10,12,14,16,18,20
84,38,46,126,162,178,240,302,360,432,480
85,4,28,46,138,162,198,238,260,276,398
86,420,530,728,794,802,810,904,992,1006,1058
87,98,468,576,1038,2248,2508,3502,6122,6224,6294
88,62,74,108,114,170,212,244,282,408,428
89,6,50,56,58,60,94,96,116,144,226
90,60,94,116,144,226,244,274,282,328,354
91,14,42,84,90,218,238,262,316,332,384
92,4,6,20,32,62,90,118,164,218,254
93,1136,1332,1716,1794,1876,2048,2334,2420,2972,3058
94,58,90,94,140,164,404,428,510,568,632
95,2,4,6,8,10,12,14,16,18,20
96,1352,1770,5240,5782,7704,7730,9954,10682,948,1168
97,484,1058,1316,1382,1406,1704,1810,2074,2100,2318
98,58,172,228,310,316,592,604,760,792,938
99,10,22,26,126,128,146,162,234,250,276
100,34,56,3333,53,346,9,654,453,3875,23677
